City,Cloudiness,Country,Date / Time,Humidity,Lat,Lon,Max Temp,Wind Speed
Nabari,75,JP,2017-10-29 17:16:00 PM,58,34.62,136.08,55.4,21.92
Volya,0,RU,2017-10-29 17:30:00 PM,81,51.77,39.54,42.8,8.95
Eregli,20,TR,2017-10-29 18:22:06 PM,97,37.51,34.05,46.11,1.83
Carlogani,0,RO,2017-10-29 18:00:00 PM,66,44.52,24.15,48.2,18.34
Rome,20,US,2017-10-29 17:55:00 PM,52,34.26,-85.16,46.4,8.05
Otradnoye,90,RU,2017-10-29 17:30:00 PM,93,59.78,30.82,37.4,3.85
Lodja,92,CD,2017-10-29 18:22:07 PM,95,-3.48,23.43,72.61,3.06
Kaitong,0,CN,2017-10-29 18:22:07 PM,66,44.81,123.15,26.98,8.77
Carvin,75,FR,2017-10-29 18:00:00 PM,93,50.49,2.96,50.0,6.93
Ilongero,0,TZ,2017-10-29 18:22:07 PM,66,-4.67,34.87,63.84,12.68
Hoogstraten,40,BE,2017-10-29 17:55:00 PM,86,51.4,4.76,50.0,6.93
Wabrzezno,40,PL,2017-10-29 18:00:00 PM,86,53.28,18.95,37.4,13.87
Fuchu,1,JP,2017-10-29 17:56:00 PM,55,35.67,139.48,64.4,16.11
Chandla,0,IN,2017-10-29 18:22:09 PM,65,25.08,80.2,67.57,2.73
Loos,75,FR,2017-10-29 18:00:00 PM,93,50.61,3.02,50.0,6.93
Rutherford,90,US,2017-10-29 17:56:00 PM,93,40.83,-74.11,66.2,13.87
Racoasa,20,RO,2017-10-29 18:00:00 PM,61,46.0,26.88,50.0,10.29
Jumilla,0,ES,2017-10-29 18:00:00 PM,93,38.48,-1.32,46.4,2.24
Almere Stad,20,NL,2017-10-29 17:55:00 PM,81,52.37,5.21,50.0,4.7
Braesti,20,RO,2017-10-29 18:00:00 PM,70,47.15,27.1,42.8,21.92
Muncar,56,ID,2017-10-29 18:22:10 PM,96,-8.43,114.33,77.74,2.95
Savyon,0,IL,2017-10-29 17:50:00 PM,64,32.05,34.88,69.8,8.05
Ilihan,88,PH,2017-10-29 18:22:11 PM,100,13.63,121.08,73.83,2.95
Secuieni,20,RO,2017-10-29 18:00:00 PM,61,46.65,27.1,50.0,10.29
Batala,0,IN,2017-10-29 17:30:00 PM,100,31.82,75.2,62.6,2.73
Sofiyivka,90,UA,2017-10-29 17:30:00 PM,93,48.05,33.87,44.6,13.42
